*GLOBAL*,Conventions,"COARDS, CF-1.6, ACDD-1.3, NCCSV-1.0"
*GLOBAL*,access_formats,".htmlTable,.csv,.json,.mat,.nc,.tsv,.esriCsv,.geoJson,.odvTxt"
*GLOBAL*,acquisition_description,"We conducted day/night paired zooplankton sampling in Hood Canal in June-\nOctober, 2012 and 2013. Sampling stations included Dabob, Union, Hoodsport,\nDuckabush, and Twanoh. A Hydrobios MultiNet (five-net capacity) was used to\ncollect depth-stratified and full water column samples. Net mouth area was\n0.25 m2; 200- and 335-um mesh nets were used to sample different size\nzooplankton. Nets were towed obliquely at 1-2.5 knots (slower tows for smaller\nmesh size), with inner and outer flow meters to measure water volume sampled.\nFor the depth-stratified sampling, depth layers were based on the dissolved\noxygen profiles from CTD casts.\n \nIn the laboratory, zooplankton were quantitatively subsampled and\nmicroscopically counted. All individuals were identified to species or larger\ntaxonomic grouping, and by life stages for some species, within each sample."
*GLOBAL*,awards_0_award_nid,"557503"
*GLOBAL*,awards_0_award_number,OCE-1154648
*GLOBAL*,awards_0_data_url,http://www.nsf.gov/awardsearch/showAward.do?AwardNumber=1154648
*GLOBAL*,awards_0_funder_name,NSF Division of Ocean Sciences
*GLOBAL*,awards_0_funding_acronym,NSF OCE
*GLOBAL*,awards_0_funding_source_nid,"355"
*GLOBAL*,awards_0_program_manager,Dr David  L. Garrison
*GLOBAL*,awards_0_program_manager_nid,"50534"
*GLOBAL*,cdm_data_type,Other
*GLOBAL*,comment,Zooplankton Densities \n  J. Keister et al. \n  Version 8 February 2017
*GLOBAL*,creator_email,info@bco-dmo.org
*GLOBAL*,creator_name,BCO-DMO
*GLOBAL*,creator_type,institution
*GLOBAL*,creator_url,https://www.bco-dmo.org/
*GLOBAL*,data_source,extract_data_as_tsv version 2.2d  13 Jun 2019
*GLOBAL*,date_created,2017-02-11T00:19:13Z
*GLOBAL*,date_modified,2019-04-04T16:46:00Z
*GLOBAL*,defaultDataQuery,&time
*GLOBAL*,doi,10.1575/1912/bco-dmo.682074.1
*GLOBAL*,Easternmost_Easting,-122.807d
*GLOBAL*,geospatial_lat_max,47.812d
*GLOBAL*,geospatial_lat_min,47.371d
*GLOBAL*,geospatial_lat_units,degrees_north
*GLOBAL*,geospatial_lon_max,-122.807d
*GLOBAL*,geospatial_lon_min,-123.125d
*GLOBAL*,geospatial_lon_units,degrees_east
*GLOBAL*,infoUrl,https://www.bco-dmo.org/dataset/682074
*GLOBAL*,institution,BCO-DMO
*GLOBAL*,instruments_0_acronym,SBE-43 DO
*GLOBAL*,instruments_0_dataset_instrument_nid,"682096"
*GLOBAL*,instruments_0_description,The Sea-Bird SBE 43 dissolved oxygen sensor is a redesign of the Clark polarographic membrane type of dissolved oxygen sensors. more information from Sea-Bird Electronics
*GLOBAL*,instruments_0_instrument_external_identifier,https://vocab.nerc.ac.uk/collection/L22/current/TOOL0036/
*GLOBAL*,instruments_0_instrument_name,Sea-Bird SBE 43 Dissolved Oxygen Sensor
*GLOBAL*,instruments_0_instrument_nid,"552"
*GLOBAL*,instruments_0_supplied_name,SBE 43
*GLOBAL*,instruments_1_acronym,MultiNet
*GLOBAL*,instruments_1_dataset_instrument_description,Used to collect water column samples
*GLOBAL*,instruments_1_dataset_instrument_nid,"682100"
